Species,Longitude,Latitude
Astyanax spp.,-91.738588,16.1010364
Astyanax spp.,-88.3133268,16.9966020
Astyanax spp.,-88.9616622,16.1009117
Astyanax spp.,-89.4373142,14.3288995
Astyanax spp.,-88.4255983,13.6648982
Astyanax spp.,-86.5948620,13.1869530
Astyanax spp.,-86.8481300,12.9459710
Astyanax spp.,-87.2553170,12.6923650
Astyanax spp.,-86.8649480,12.5170490
Astyanax spp.,-86.3367060,11.7383390
Astyanax spp.,-86.3053060,11.6742040
Astyanax spp.,-85.5103800,10.7234000
Astyanax spp.,-85.4813250,10.6688490
Astyanax spp.,-84.7586110,10.0602500
Astyanax spp.,-83.6332000,9.8723000
Astyanax spp.,-83.3338300,10.0441600
Astyanax spp.,-82.8576833,9.6209333
Astyanax spp.,-84.4117000,9.5829500
Astyanax spp.,-83.2391810,8.7828940
Astyanax spp.,-83.0762960,8.6818010
Astyanax spp.,-85.1994170,10.6721670
Astyanax spp.,-79.6516950,9.1929760
Astyanax spp.,-79.7152690,9.1283490
Astyanax spp.,-85.9555278,12.3266111
Astyanax spp.,-84.6779450,12.5258400
Astyanax spp.,-84.3147500,12.1740410
Astyanax spp.,-86.4927270,12.0722430
Astyanax spp.,-85.9731944,11.6566389
Astyanax spp.,-85.5309460,12.3778140
Astyanax spp.,-84.4236310,11.6681440
Astyanax spp.,-85.8974280,11.5367660
Astyanax spp.,-85.9231880,11.4352640
Astyanax spp.,-85.4791370,11.1505370
Astyanax spp.,-86.0153530,13.5591060
Astyanax spp.,-84.1951070,10.7899520
Astyanax spp.,-84.4841800,10.6180200
Astyanax spp.,-84.3187280,10.5222380
Astyanax spp.,-83.9753300,10.3807800
Astyanax spp.,-84.0107020,10.4486910
Astyanax spp.,-85.9120680,13.2588490
Astyanax spp.,-86.426056,12.673755
Astyanax spp.,-85.6440556,12.7771111
Astyanax spp.,-85.7760560,12.5184330
Astyanax spp.,-86.0398450,12.4489790
Astyanax spp.,-85.2270830,12.6236820
Astyanax spp.,-86.4260560,12.6737550
Astyanax spp.,-85.0473310,10.3209490
Astyanax spp.,-85.5544100,10.7855300
Astyanax spp.,-86.8794800,15.7512900
Astyanax spp.,-86.7828700,15.7354680
Astyanax spp.,-87.1751300,13.3251000
Astyanax spp.,-86.3478500,14.0684700
Astyanax spp.,-87.1064900,13.0621000
Astyanax spp.,-87.3405100,13.6870100
Astyanax spp.,-84.4462300,14.7189600
Astyanax spp.,-86.4638900,15.4345200
Astyanax spp.,-85.7929900,12.4182500
Astyanax spp.,-83.3863100,10.0705500
Astyanax spp.,-85.0459700,12.1363000
Astyanax spp.,-85.4544000,13.2576900
Astyanax spp.,-85.8887000,12.3511600
Astyanax spp.,-85.5354100,12.4551300
Astyanax spp.,-85.2047900,11.8294200
Astyanax spp.,-85.1315600,11.8799200
Astyanax spp.,-86.2263700,15.4977700
Astyanax spp.,-86.7504600,15.7357400
Astyanax spp.,-86.6506800,15.6114300
Astyanax spp.,-87.7559100,13.6160600
Astyanax spp.,-88.5883060,15.2313330
Astyanax spp.,-88.5688060,15.2100000
Astyanax spp.,-88.5358330,15.2406110
