Species,Longitude,Latitude
Astyanax spp,-9805273.91693000000,2822629.34382000000
Astyanax spp,-9410480.61278000000,2867677.06454000000
Astyanax spp,-9520196.77889000000,2739049.18918000000
Astyanax spp,-9649249.06763000000,2456510.30697000000
Astyanax spp,-9570402.64731000000,2319584.17164000000
Astyanax spp,-9395252.22981000000,2197258.24060000000
Astyanax spp,-9430969.35804000000,2163384.54905000000
Astyanax spp,-9483431.66050000000,2130655.20086000000
Astyanax spp,-9448152.16645000000,2093110.08924000000
Astyanax spp,-9418221.30868000000,1953827.89008000000
Astyanax spp,-9416951.00680000000,1942651.77894000000
Astyanax spp,-9360920.79296000000,1771553.46015000000
Astyanax spp,-9359385.83965000000,1762106.18890000000
Astyanax spp,-9298396.65709000000,1650291.84711000000
Astyanax spp,-9181348.42109000000,1601507.24172000000
Astyanax spp,-9144369.39673000000,1624327.51056000000
Astyanax spp,-9103507.14777000000,1549103.84065000000
Astyanax spp,-9273371.44935000000,1567106.01139000000
Astyanax spp,-9165147.77523000000,1420375.51966000000
Astyanax spp,-9149671.39364000000,1401861.75723000000
Astyanax spp,-9328861.26673000000,1757582.34022000000
Astyanax spp,-8764369.87325000000,1435838.18293000000
Astyanax spp,-8772742.86023000000,1426650.88544000000
Astyanax spp,-9357794.17266000000,2042426.63937000000
Astyanax spp,-9214660.39776000000,2048268.35517000000
Astyanax spp,-9187485.06999000000,1984233.41212000000
Astyanax spp,-9423806.38386000000,2011938.07069000000
Astyanax spp,-9381917.97829000000,1933133.16995000000
Astyanax spp,-9310727.20576000000,2041917.63459000000
Astyanax spp,-9215287.21775000000,1904808.13181000000
Astyanax spp,-9377636.62584000000,1911997.47371000000
Astyanax spp,-9383625.98157000000,1895871.27975000000
Astyanax spp,-9344744.84682000000,1840786.02342000000
Astyanax spp,-9320024.53777000000,2244861.75868000000
Astyanax spp,-9217037.07918000000,1758854.46050000000
Astyanax spp,-9253179.64215000000,1736126.68568000000
Astyanax spp,-9238010.74576000000,1717749.45376000000
Astyanax spp,-9204806.15417000000,1689041.05232000000
Astyanax spp,-9206754.98723000000,1700593.26478000000
Astyanax spp,-9320211.81437000000,2193613.40119000000
Astyanax spp,-9395885.96892000000,2109324.63571000000
Astyanax spp,-9309005.82998000000,2109297.53255000000
Astyanax spp,-9332068.68641000000,2069969.92387000000
Astyanax spp,-9362594.01056000000,2064211.81119000000
Astyanax spp,-9269913.20670000000,2075511.37071000000
Astyanax spp,-9395885.96892000000,2109324.63571000000
Astyanax spp,-9322458.15494000000,1697645.33211000000
Astyanax spp,-9363836.23363000000,1782518.03599000000
Astyanax spp,-9320971.03721000000,2623417.26985000000
Astyanax spp,-9311646.33256000000,2618246.29253000000
Astyanax spp,-9451549.40617000000,2233311.18599000000
Astyanax spp,-9335594.34255000000,2335673.75307000000
Astyanax spp,-9454115.53579000000,2188362.40257000000
Astyanax spp,-9455135.78930000000,2296893.42595000000
Astyanax spp,-9110002.41336000000,2395320.77110000000
Astyanax spp,-9291605.06742000000,2560889.44009000000
Astyanax spp,-9337317.00254000000,2053984.12089000000
Astyanax spp,-9149365.50208000000,1629407.24168000000
Astyanax spp,-9266969.01335000000,1992753.30432000000
Astyanax spp,-9271705.95098000000,2183233.32481000000
Astyanax spp,-9349823.55490000000,2045038.43533000000
Astyanax spp,-9308572.38075000000,2054594.54325000000
Astyanax spp,-9293971.31660000000,1946103.80575000000
Astyanax spp,-9284494.41909000000,1952860.53238000000
Astyanax spp,-9264158.11631000000,2564944.43850000000
Astyanax spp,-9308270.86126000000,2617421.36806000000
Astyanax spp,-9303365.30255000000,2594550.46464000000
Astyanax spp,-9501728.03732000000,2295151.40354000000
Astyanax spp,-9521451.93463000000,2584318.43390000000
Astyanax spp,-9520372.58880000000,2580247.77874000000
Astyanax spp,-9515587.50682000000,2584424.34543000000
