Species,Longitude,Latitude
Amatitlania_spp,-77.74,8.81
Amatitlania_spp,-82.285833,9.040556
Amatitlania_spp,-78.6595,9.056
Amatitlania_spp,-82.61,9.3599
Amatitlania_spp,-82.39791,9.42267
Amatitlania_spp,-79.12415,9.46995
Amatitlania_spp,-82.80247,9.59872
Amatitlania_spp,-84.57959,9.97428
Amatitlania_spp,-84.68333,10
Amatitlania_spp,-84.73333,10.06667
Amatitlania_spp,-83.36667,10.08333
Amatitlania_spp,-84.86667,10.1
Amatitlania_spp,-85,10.21667
Amatitlania_spp,-83.90466,10.21872
Amatitlania_spp,-85.56667,10.25
Amatitlania_spp,-85.08912,10.28452
Amatitlania_spp,-85.05733,10.30552
Amatitlania_spp,-85.2,10.33333
Amatitlania_spp,-83.96667,10.38333
Amatitlania_spp,-83.9925,10.38417
Amatitlania_spp,-85.5868833,10.3950167
Amatitlania_spp,-83.99167,10.4175
Amatitlania_spp,-83.9925,10.4175
Amatitlania_spp,-84.00056,10.42778
Amatitlania_spp,-83.98333,10.43333
Amatitlania_spp,-84.00917,10.43667
Amatitlania_spp,-85.38555,10.48961
Amatitlania_spp,-83.5,10.5
Amatitlania_spp,-85.39192,10.56106
Amatitlania_spp,-84.06908,10.59927
Amatitlania_spp,-84.4841833,10.6180167
Amatitlania_spp,-84.48418,10.61802
Amatitlania_spp,-85.43412,10.62745
Amatitlania_spp,-85.08725,10.63925
Amatitlania_spp,-85.41667,10.66667
Amatitlania_spp,-85.19942,10.67217
Amatitlania_spp,-83.918,10.7105
Amatitlania_spp,-85.51038,10.7234
Amatitlania_spp,-85.0664,10.72422
Amatitlania_spp,-84.88818,10.73125
Amatitlania_spp,-85.0553,10.73145
Amatitlania_spp,-85.55441,10.78553
Amatitlania_spp,-85.53333,10.8
Amatitlania_spp,-85.5439,10.81467
Amatitlania_spp,-84.59366,10.84717
Amatitlania_spp,-85.21126,10.90839
Amatitlania_spp,-83.73833,10.95467
Amatitlania_spp,-84.3323,10.96587
Amatitlania_spp,-84.33142,10.9719
