Species,Longitude,Latitude
Amatitlania_spp,-77.7400000,8.8100000
Amatitlania_spp,-82.2858330,9.0405560
Amatitlania_spp,-78.6595000,9.0560000
Amatitlania_spp,-82.6100000,9.3599000
Amatitlania_spp,-82.3979100,9.4226700
Amatitlania_spp,-79.1241500,9.4699500
Amatitlania_spp,-82.8024700,9.5987200
Amatitlania_spp,-84.5795900,9.9742800
Amatitlania_spp,-84.6833300,10.0000000
Amatitlania_spp,-84.7333300,10.0666700
Amatitlania_spp,-83.3666700,10.0833300
Amatitlania_spp,-84.8666700,10.1000000
Amatitlania_spp,-85.0000000,10.2166700
Amatitlania_spp,-83.9046600,10.2187200
Amatitlania_spp,-85.5666700,10.2500000
Amatitlania_spp,-85.0891200,10.2845200
Amatitlania_spp,-85.0573300,10.3055200
Amatitlania_spp,-85.2000000,10.3333300
Amatitlania_spp,-83.9666700,10.3833300
Amatitlania_spp,-83.9925000,10.3841700
Amatitlania_spp,-85.5868833,10.3950167
Amatitlania_spp,-83.9916700,10.4175000
Amatitlania_spp,-83.9925000,10.4175000
Amatitlania_spp,-84.0005600,10.4277800
Amatitlania_spp,-83.9833300,10.4333300
Amatitlania_spp,-84.0091700,10.4366700
Amatitlania_spp,-85.3855500,10.4896100
Amatitlania_spp,-83.5000000,10.5000000
Amatitlania_spp,-85.3919200,10.5610600
Amatitlania_spp,-84.0690800,10.5992700
Amatitlania_spp,-84.4841833,10.6180167
Amatitlania_spp,-84.4841800,10.6180200
Amatitlania_spp,-85.4341200,10.6274500
Amatitlania_spp,-85.0872500,10.6392500
Amatitlania_spp,-85.4166700,10.6666700
Amatitlania_spp,-85.1994200,10.6721700
Amatitlania_spp,-83.9180000,10.7105000
Amatitlania_spp,-85.5103800,10.7234000
Amatitlania_spp,-85.0664000,10.7242200
Amatitlania_spp,-84.8881800,10.7312500
Amatitlania_spp,-85.0553000,10.7314500
Amatitlania_spp,-85.5544100,10.7855300
Amatitlania_spp,-85.5333300,10.8000000
Amatitlania_spp,-85.5439000,10.8146700
Amatitlania_spp,-84.5936600,10.8471700
Amatitlania_spp,-85.2112600,10.9083900
Amatitlania_spp,-83.7383300,10.9546700
Amatitlania_spp,-84.3323000,10.9658700
Amatitlania_spp,-84.3314200,10.9719000
Amatitlania_spp,-84.3215000,10.9806700
Amatitlania_spp,-84.3283300,11.0206700
Amatitlania_spp,-84.2338300,11.0255000
Amatitlania_spp,-84.7182100,11.0300400
Amatitlania_spp,-85.4892200,11.0428300
Amatitlania_spp,-84.4561700,11.0731700
Amatitlania_spp,-84.4548300,11.0826700
Amatitlania_spp,-84.6653800,11.1269000
Amatitlania_spp,-84.9048900,11.4004600
Amatitlania_spp,-85.5482050,11.4969190
Amatitlania_spp,-84.8395600,11.5053800
Amatitlania_spp,-85.9731944,11.6566389
Amatitlania_spp,-85.9881667,11.6788611
Amatitlania_spp,-84.4601900,11.6812700
Amatitlania_spp,-84.5106800,11.7385500
Amatitlania_spp,-84.5581900,11.7492300
