Species,Longitude,Latitude
Priapichthys_annectens,-85.3576600,11.0192000
Priapichthys_annectens,-85.1871167,10.7697167
Priapichthys_annectens,-85.1932500,10.7627667
Priapichthys_annectens,-85.3502970,10.7613440
Priapichthys_annectens,-84.8333300,10.7500000
Priapichthys_annectens,-85.0553000,10.7314500
Priapichthys_annectens,-85.0553500,10.7314200
Priapichthys_annectens,-85.0800167,10.7035333
Priapichthys_annectens,-85.0836500,10.6909000
Priapichthys_annectens,-85.0667000,10.6871830
Priapichthys_annectens,-85.0753000,10.6842200
Priapichthys_annectens,-85.0195200,10.5819800
Priapichthys_annectens,-84.9208500,10.5632500
Priapichthys_annectens,-85.2806590,10.5311730
Priapichthys_annectens,-84.5000000,10.5000000
Priapichthys_annectens,-84.8358000,10.4922000
Priapichthys_annectens,-84.9500000,10.4500000
Priapichthys_annectens,-84.0138900,10.4491700
Priapichthys_annectens,-84.0125000,10.4430600
Priapichthys_annectens,-84.0091700,10.4375000
Priapichthys_annectens,-84.0091700,10.4372200
Priapichthys_annectens,-84.7234000,10.4350500
Priapichthys_annectens,-83.9833300,10.4333300
Priapichthys_annectens,-84.0083300,10.4333300
Priapichthys_annectens,-84.0041700,10.4300000
Priapichthys_annectens,-84.0005600,10.4277800
Priapichthys_annectens,-84.0041700,10.4277800
Priapichthys_annectens,-84.7522500,10.4274300
Priapichthys_annectens,-83.9916700,10.4175000
Priapichthys_annectens,-84.3500000,10.3833300
Priapichthys_annectens,-83.8122333,10.2594167
Priapichthys_annectens,-84.2666700,10.2333300
Priapichthys_annectens,-83.9046600,10.2187200
Priapichthys_annectens,-83.8852333,10.2112333
Priapichthys_annectens,-83.7833300,10.2000000
Priapichthys_annectens,-83.6521000,10.1977200
Priapichthys_annectens,-84.4981500,10.1729500
Priapichthys_annectens,-84.4980170,10.1720670
Priapichthys_annectens,-83.3666700,10.0833300
Priapichthys_annectens,-83.4331000,10.0000000
Priapichthys_annectens,-84.0000000,10.0000000
Priapichthys_annectens,-84.1166700,9.9666700
Priapichthys_annectens,-83.6500000,9.9000000
Priapichthys_annectens,-83.6500000,9.8833300
Priapichthys_annectens,-83.4333300,9.8333300
Priapichthys_annectens,-83.8666700,9.8333300
Priapichthys_annectens,-83.8500000,9.8000000
Priapichthys_annectens,-83.8500000,9.7833300
Priapichthys_annectens,-84.3833300,9.7833300
Priapichthys_annectens,-82.7987000,9.6473000
Priapichthys_annectens,-82.8327300,9.6242700
Priapichthys_annectens,-82.8907000,9.5618000
Priapichthys_annectens,-84.0000000,9.5000000
Priapichthys_annectens,-83.6166700,9.3666700
