Species,Longitude,Latitude
Phallichthys_amates,-87.8833300,15.8500000
Phallichthys_amates,-88.0000000,15.7666700
Phallichthys_amates,-88.0166700,15.7666700
Phallichthys_amates,-87.4833300,15.7500000
Phallichthys_amates,-87.4557833,15.7406833
Phallichthys_amates,-87.5500000,15.7166700
Phallichthys_amates,-87.5666700,15.7000000
Phallichthys_amates,-87.0847500,15.6643333
Phallichthys_amates,-88.5830000,15.5790000
Phallichthys_amates,-88.0000000,15.5333300
Phallichthys_amates,-88.0166700,15.5166700
Phallichthys_amates,-87.6500000,15.5000000
Phallichthys_amates,-84.3333300,15.4833300
Phallichthys_amates,-88.8960000,15.4780000
Phallichthys_amates,-84.3333300,15.4166700
Phallichthys_amates,-90.0890000,15.2610000
Phallichthys_amates,-89.0833300,15.2500000
Phallichthys_amates,-87.1000000,15.1333300
Phallichthys_amates,-87.9500000,15.1000000
Phallichthys_amates,-85.4666700,15.0833300
Phallichthys_amates,-85.7333300,14.8833300
Phallichthys_amates,-85.8333300,14.7500000
Phallichthys_amates,-85.8000000,14.7166700
Phallichthys_amates,-86.2166700,14.1333300
Phallichthys_amates,-85.1382700,12.9835100
Phallichthys_amates,-85.1815300,12.0034000
Phallichthys_amates,-84.6061100,11.8254400
Phallichthys_amates,-84.5581900,11.7492300
Phallichthys_amates,-84.5106800,11.7385500
Phallichthys_amates,-84.4601900,11.6812700
Phallichthys_amates,-84.4548300,11.0826700
Phallichthys_amates,-83.8344700,11.0462500
Phallichthys_amates,-84.3393700,10.9751000
Phallichthys_amates,-84.3283300,10.9741700
Phallichthys_amates,-84.3281700,10.9732100
Phallichthys_amates,-84.5936600,10.8471700
Phallichthys_amates,-85.1871167,10.7697167
Phallichthys_amates,-85.0553500,10.7314200
Phallichthys_amates,-84.8881800,10.7312500
Phallichthys_amates,-84.5582000,10.7274000
Phallichthys_amates,-85.4341200,10.6274500
Phallichthys_amates,-84.0690800,10.5992700
Phallichthys_amates,-83.5027800,10.5394400
Phallichthys_amates,-84.0312667,10.5245167
Phallichthys_amates,-83.5000000,10.5000000
Phallichthys_amates,-84.0138900,10.4491700
Phallichthys_amates,-84.6141990,10.4445560
Phallichthys_amates,-84.0125000,10.4430600
Phallichthys_amates,-84.0091700,10.4400000
Phallichthys_amates,-84.0091700,10.4375000
Phallichthys_amates,-84.0077800,10.4355600
Phallichthys_amates,-84.7234000,10.4350500
Phallichthys_amates,-83.9833300,10.4333300
Phallichthys_amates,-84.0083300,10.4333300
Phallichthys_amates,-84.0002800,10.4277800
Phallichthys_amates,-84.0005600,10.4277800
Phallichthys_amates,-84.0041700,10.4277800
Phallichthys_amates,-83.9991700,10.4266700
Phallichthys_amates,-83.9994400,10.4263900
Phallichthys_amates,-83.9916700,10.4175000
Phallichthys_amates,-83.9925000,10.4175000
Phallichthys_amates,-84.4166700,10.4000000
Phallichthys_amates,-83.9925000,10.3841700
Phallichthys_amates,-83.9666700,10.3833300
Phallichthys_amates,-83.8122000,10.2594200
Phallichthys_amates,-83.9046600,10.2187200
Phallichthys_amates,-83.7833300,10.2000000
Phallichthys_amates,-83.6587000,10.1996800
Phallichthys_amates,-83.6521000,10.1977200
Phallichthys_amates,-83.3666700,10.0833300
Phallichthys_amates,-83.3338300,10.0441600
Phallichthys_amates,-84.0000000,10.0000000
Phallichthys_amates,-84.0000000,9.9000000
Phallichthys_amates,-84.0833300,9.9000000
Phallichthys_amates,-83.6500000,9.8833300
Phallichthys_amates,-82.8399000,9.7280000
Phallichthys_amates,-82.7987000,9.6473000
Phallichthys_amates,-82.8576833,9.6209333
Phallichthys_amates,-82.8907000,9.5618000
