Species,Longitude,Latitude
P_mex_gillii,-85.43412,10.62745
P_mex_gillii,-85.39192,10.5722
P_mex_gillii,-85.39192,10.56106
P_mex_gillii,-85.65166,10.51508
P_mex_gillii,-85.38555,10.48961
P_mex_gillii,-85.59045,10.39076
P_mex_gillii,-85.59261,10.26677
P_mex_gillii,-83.33383,10.04416
P_mex_gillii,-89.3593,16.9573
P_mex_gillii,-89.72929,16.9029
P_mex_gillii,-90.1927,16.5544
P_mex_gillii,-90.2301,16.5506
P_mex_gillii,-90.2892,15.8411
P_mex_gillii,-89.9448,15.8063
P_mex_gillii,-88.8983,15.5391
P_mex_gillii,-89.85556,15.31617
P_mex_gillii,-89.2481,15.2091
P_mex_gillii,-89.2994,15.1816
P_mex_gillii,-85.9393,15.681
P_mex_gillii,-86.2117,15.5348
P_mex_gillii,-86.666,15.4838
P_mex_gillii,-88.6248,15.34147
P_mex_gillii,-88.66264,15.32656
P_mex_gillii,-87.9287,15.0348
P_mex_gillii,-89.06783,14.86603
P_mex_gillii,-89.12355,14.85589
P_mex_gillii,-89.16819,14.8394
P_mex_gillii,-87.6523,14.4537
P_mex_gillii,-89.20816,14.39417
P_mex_gillii,-87.6948,13.8277
P_mex_gillii,-87.76212,13.58928
P_mex_gillii,-87.4788,13.5417
P_mex_gillii,-87.099,13.4827
P_mex_gillii,-92.99859,17.55225
P_mex_gillii,-92.999,17.552
P_mex_gillii,-92.91448,17.51008
P_mex_gillii,-92.98,17.51
P_mex_gillii,-92.998,17.495
P_mex_gillii,-91.97376,17.48417
P_mex_gillii,-92.776,17.484
P_mex_gillii,-92.7743,17.46444
P_mex_gillii,-92.895,17.464
P_mex_gillii,-92.889,17.458
P_mex_gillii,-92.88892,17.45761
P_mex_gillii,-92.77476,17.43843
P_mex_gillii,-92.75213,17.42685
P_mex_gillii,N/A,N/A
P_mex_gillii,-84.82472,13.93861
P_mex_gillii,-84.56333,13.91667
P_mex_gillii,-85.04444,13.82028
P_mex_gillii,-85.64833,13.77111
P_mex_gillii,-84.51472,13.73222
P_mex_gillii,-84.69794,13.69575
P_mex_gillii,-85.79611,13.67611
P_mex_gillii,-85.76389,13.67356
P_mex_gillii,-85.365,13.63583
P_mex_gillii,-86.47483,13.60944
P_mex_gillii,-84.86333,13.555
P_mex_gillii,-85.80986,13.51294
P_mex_gillii,-84.84472,13.50306
P_mex_gillii,-84.91444,13.46
P_mex_gillii,-85.985,13.42472
P_mex_gillii,-85.35108,13.3526
P_mex_gillii,-85.95636,13.34164
P_mex_gillii,-85.94881,13.33811
P_mex_gillii,-86.20417,13.33335
P_mex_gillii,-86.18028,13.29133
P_mex_gillii,-85.43922,13.26233
P_mex_gillii,-85.4544,13.25769
P_mex_gillii,-85.54453,13.25611
P_mex_gillii,-86.55272,13.22797
P_mex_gillii,-85.72626,13.22058
P_mex_gillii,-86.28528,13.1745
P_mex_gillii,-85.92922,13.15058
P_mex_gillii,-86.01022,13.11843
P_mex_gillii,-86.36033,13.09797
P_mex_gillii,-86.35114,13.05866
P_mex_gillii,-85.23434,12.93613
P_mex_gillii,-85.21286,12.87886
P_mex_gillii,-85.44279,12.82341
P_mex_gillii,-85.54708,12.68476
P_mex_gillii,-86.09139,12.67075
P_mex_gillii,-85.79299,12.41825
P_mex_gillii,-85.04597,12.1363
P_mex_gillii,-84.66831,12.01289
P_mex_gillii,-84.83956,11.50538
P_mex_gillii,-85.51783,11.19033
P_mex_gillii,-85.6159,11.04437
P_mex_gillii,-85.48922,11.04283
P_mex_gillii,-85.21126,10.90839
P_mex_gillii,-84.55823,10.7274
P_mex_gillii,-85.51038,10.7234
P_mex_gillii,-85.08365,10.6909
P_mex_gillii,-84.82223,10.64482
P_mex_gillii,-85.05812,10.62407
P_mex_gillii,-84.48418,10.61802
P_mex_gillii,-84.9808,10.54858
P_mex_gillii,-84.03133,10.52455
P_mex_gillii,-84.689,10.49875
P_mex_gillii,-85.07812,10.47945
P_mex_gillii,-83.99195,10.47225
P_mex_gillii,-84.76933,10.47208
P_mex_gillii,-85.07438,10.46113
P_mex_gillii,-84.86815,10.4377
P_mex_gillii,-85.58688,10.39502
P_mex_gillii,-83.9682,10.393
P_mex_gillii,-85.0974,10.37208
P_mex_gillii,-85.16882,10.34825
P_mex_gillii,-85.07594,10.3427
P_mex_gillii,-83.81223,10.25942
P_mex_gillii,-84.99171,10.23998
P_mex_gillii,-83.56873,10.19772
P_mex_gillii,-83.55617,10.12417
P_mex_gillii,-84.75919,10.05914
P_mex_gillii,-85.26202,10.05828
P_mex_gillii,-85.5452,10.04833
P_mex_gillii,-84.32582,10.02979
P_mex_gillii,-84.73442,10.02264
P_mex_gillii,-83.21022,10.01678
P_mex_gillii,-84.53886,9.94132
P_mex_gillii,-84.2413,9.9196
P_mex_gillii,-82.97228,9.89258
P_mex_gillii,-84.5278,9.8798
