Species,Longitude,Latitude
Roeboides_bouchellei,-84.3666700,15.5500000
Roeboides_bouchellei,-84.3500000,15.4833300
Roeboides_bouchellei,-84.3666700,15.4833300
Roeboides_bouchellei,-84.3333300,15.4166700
Roeboides_bouchellei,-85.6666700,14.9166700
Roeboides_bouchellei,-85.7333300,14.8833300
Roeboides_bouchellei,-85.8333300,14.8166700
Roeboides_bouchellei,-85.8333300,14.7500000
Roeboides_bouchellei,-86.0000000,14.7166700
Roeboides_bouchellei,-86.1333300,14.7166700
Roeboides_bouchellei,-91.3240000,14.4140000
Roeboides_bouchellei,-89.4793000,14.2432000
Roeboides_bouchellei,-90.6640000,14.1390000
Roeboides_bouchellei,-90.6220000,14.0670000
Roeboides_bouchellei,-87.0000000,14.0000000
Roeboides_bouchellei,-86.9833300,13.9333300
Roeboides_bouchellei,-86.9833300,13.9000000
Roeboides_bouchellei,-88.2461000,13.3661000
Roeboides_bouchellei,-85.4427900,12.8234100
Roeboides_bouchellei,-85.7929900,12.4182500
Roeboides_bouchellei,-85.9555278,12.3266111
Roeboides_bouchellei,-85.6511900,12.2670700
Roeboides_bouchellei,-86.1020800,12.2026700
Roeboides_bouchellei,-86.1161800,12.1728900
Roeboides_bouchellei,-85.0459700,12.1363000
Roeboides_bouchellei,-84.5368900,12.0740100
Roeboides_bouchellei,-85.1815300,12.0034000
Roeboides_bouchellei,-84.5106800,11.7385500
Roeboides_bouchellei,-85.9881667,11.6788611
Roeboides_bouchellei,-84.8395600,11.5053800
Roeboides_bouchellei,-84.4548300,11.0826700
Roeboides_bouchellei,-84.4561700,11.0731700
Roeboides_bouchellei,-84.7182100,11.0300400
Roeboides_bouchellei,-84.3215000,10.9806700
Roeboides_bouchellei,-85.1369200,10.9546800
Roeboides_bouchellei,-85.5333300,10.8000000
Roeboides_bouchellei,-85.5544100,10.7855300
Roeboides_bouchellei,-85.4341200,10.6274500
Roeboides_bouchellei,-85.5847700,10.5722000
Roeboides_bouchellei,-85.3919200,10.5610600
Roeboides_bouchellei,-84.0312700,10.5245200
Roeboides_bouchellei,-84.0312667,10.5245167
Roeboides_bouchellei,-85.6516600,10.5150800
Roeboides_bouchellei,-85.3855500,10.4896100
Roeboides_bouchellei,-84.0091700,10.4400000
Roeboides_bouchellei,-84.0091700,10.4375000
Roeboides_bouchellei,-84.0091700,10.4366700
Roeboides_bouchellei,-84.0041700,10.4277800
Roeboides_bouchellei,-85.5904500,10.3907600
Roeboides_bouchellei,-85.2000000,10.3333300
Roeboides_bouchellei,-85.0473310,10.3209490
Roeboides_bouchellei,-85.5926100,10.2667700
Roeboides_bouchellei,-85.5666700,10.2500000
Roeboides_bouchellei,-83.9046600,10.2187200
Roeboides_bouchellei,-85.0000000,10.2166700
Roeboides_bouchellei,-83.6587333,10.1996833
Roeboides_bouchellei,-85.2620200,10.0582800
Roeboides_bouchellei,-83.7000000,9.3666700
Roeboides_bouchellei,-83.6166700,9.2500000
Roeboides_bouchellei,-83.7000000,9.2500000
Roeboides_bouchellei,-79.5700000,9.0050000
Roeboides_bouchellei,-80.5000000,8.4166700
