Species,Longitude,Latitude
Xenophallus_umbratilis,-84.83956,11.50538
Xenophallus_umbratilis,-85.0553,10.73145
Xenophallus_umbratilis,-85.05535,10.73142
Xenophallus_umbratilis,-85.03127,10.72773
Xenophallus_umbratilis,-84.558169,10.727358
Xenophallus_umbratilis,-85.0664,10.72422
Xenophallus_umbratilis,-85.08365,10.6909
Xenophallus_umbratilis,-85.0760167,10.6880833
Xenophallus_umbratilis,-85.0667,10.687183
Xenophallus_umbratilis,-85.199417,10.672167
Xenophallus_umbratilis,-85.090367,10.657783
Xenophallus_umbratilis,-84.8222333,10.6448167
Xenophallus_umbratilis,-84.9403,10.5603
Xenophallus_umbratilis,-84.9697,10.5597
Xenophallus_umbratilis,-84.90354,10.555135
Xenophallus_umbratilis,-84.9808,10.5486
Xenophallus_umbratilis,-84.0312667,10.5245167
Xenophallus_umbratilis,-84.846,10.50645
Xenophallus_umbratilis,-84.8406,10.5014
Xenophallus_umbratilis,-84.8358,10.4922
Xenophallus_umbratilis,-84.8222,10.4736
Xenophallus_umbratilis,-84.7234,10.43505
Xenophallus_umbratilis,-84.75225,10.42743
Xenophallus_umbratilis,-83.9682,10.393
Xenophallus_umbratilis,-83.7375,10.3553
Xenophallus_umbratilis,-84.5881,10.3517
Xenophallus_umbratilis,-83.61,10.2894
Xenophallus_umbratilis,-83.8122333,10.2594167
Xenophallus_umbratilis,-83.8865,10.2119
Xenophallus_umbratilis,-83.6521,10.19772
Xenophallus_umbratilis,-83.98333,10.43333
Xenophallus_umbratilis,-83.9925,10.4175
Xenophallus_umbratilis,-84.00833,10.43611
Xenophallus_umbratilis,-84,10.5
Xenophallus_umbratilis,-84.00917,10.43667
Xenophallus_umbratilis,-83.9925,10.38417
Xenophallus_umbratilis,-84.95,10.45
Xenophallus_umbratilis,-84.00056,10.42778
Xenophallus_umbratilis,-83.99167,10.41667
Xenophallus_umbratilis,-84.0125,10.44306
Xenophallus_umbratilis,-84.00917,10.4375
Xenophallus_umbratilis,-83.99167,10.4175
Xenophallus_umbratilis,-84.45483,11.08267
Xenophallus_umbratilis,-84.00917,10.43722
Xenophallus_umbratilis,-84.00972,10.43889
Xenophallus_umbratilis,-83.78333,10.2
Xenophallus_umbratilis,-84.88472,10.50694
Xenophallus_umbratilis,-83.96667,10.38333
Xenophallus_umbratilis,-83.98972,10.41778
Xenophallus_umbratilis,-84.85,10.47
Xenophallus_umbratilis,-83.99917,10.42667
Xenophallus_umbratilis,-83.99944,10.42639
Xenophallus_umbratilis,-84.85639,10.44778
Xenophallus_umbratilis,-84.00889,10.43694
Xenophallus_umbratilis,-84.0125,10.44583
Xenophallus_umbratilis,-84.00917,10.44
Xenophallus_umbratilis,-84.00444,10.42778
Xenophallus_umbratilis,-84.00417,10.42778
